"algorithm","graph","timeout","seed","k","epsilon","num_threads","imbalance","totalPartitionTime","objective","km1","cut","failed"
"Mt-KaHyPar Fast","CurlCurl_4.mtx.hgr","no",2,64,0.03,64,0.0288472,3.56911,"km1",289606,278926,"no"
"Mt-KaHyPar Fast","CurlCurl_4.mtx.hgr","no",3,64,0.03,64,0.0293849,3.61314,"km1",288773,277832,"no"
"Mt-KaHyPar Fast","CurlCurl_4.mtx.hgr","no",4,64,0.03,64,0.0296537,3.58726,"km1",286995,276063,"no"
"Mt-KaHyPar Fast","CurlCurl_4.mtx.hgr","no",5,64,0.03,64,0.0297075,3.68298,"km1",290150,279024,"no"
"Mt-KaHyPar Fast","CurlCurl_4.mtx.hgr","no",1,8,0.03,64,0.0281451,1.69737,"km1",92321,91474,"no"
"Mt-KaHyPar Fast","CurlCurl_4.mtx.hgr","no",2,8,0.03,64,0.0184397,1.68117,"km1",88988,88189,"no"
"Mt-KaHyPar Fast","CurlCurl_4.mtx.hgr","no",3,8,0.03,64,0.0166115,1.62994,"km1",89691,88813,"no"
"Mt-KaHyPar Fast","CurlCurl_4.mtx.hgr","no",4,8,0.03,64,0.0112379,1.77991,"km1",89917,88960,"no"
"Mt-KaHyPar Fast","CurlCurl_4.mtx.hgr","no",5,8,0.03,64,0.00725892,1.73497,"km1",91440,90332,"no"
"Mt-KaHyPar Fast","dac2012_superblue11.hgr","no",1,16,0.03,64,0.0257845,1.10655,"km1",16284,15770,"no"
"Mt-KaHyPar Fast","dac2012_superblue11.hgr","no",2,16,0.03,64,0.0297823,1.24053,"km1",16679,16286,"no"
"Mt-KaHyPar Fast","dac2012_superblue11.hgr","no",3,16,0.03,64,0.0298663,1.15427,"km1",15594,15231,"no"
"Mt-KaHyPar Fast","dac2012_superblue11.hgr","no",4,16,0.03,64,0.0297151,1.20889,"km1",15962,15602,"no"
"Mt-KaHyPar Fast","dac2012_superblue11.hgr","no",5,16,0.03,64,0.0263556,1.22716,"km1",16291,15892,"no"
"Mt-KaHyPar Fast","dac2012_superblue11.hgr","no",1,2,0.03,64,0.00395587,0.541564,"km1",2038,2038,"no"
"Mt-KaHyPar Fast","dac2012_superblue11.hgr","no",2,2,0.03,64,0.028932,0.590067,"km1",1392,1392,"no"
"Mt-KaHyPar Fast","dac2012_superblue11.hgr","no",3,2,0.03,64,0.0297656,0.599649,"km1",1441,1441,"no"
"Mt-KaHyPar Fast","dac2012_superblue11.hgr","no",4,2,0.03,64,0.0296669,0.601639,"km1",1434,1434,"no"
"Mt-KaHyPar Fast","dac2012_superblue11.hgr","no",5,2,0.03,64,0.0275609,0.592827,"km1",1510,1510,"no"
"Mt-KaHyPar Fast","dac2012_superblue11.hgr","no",1,64,0.03,64,0.0296983,2.10796,"km1",47240,44614,"no"
"Mt-KaHyPar Fast","dac2012_superblue11.hgr","no",2,64,0.03,64,0.0296311,2.02083,"km1",48127,44932,"no"
"Mt-KaHyPar Fast","dac2012_superblue11.hgr","no",3,64,0.03,64,0.0296983,2.01637,"km1",48079,45030,"no"
"Mt-KaHyPar Fast","dac2012_superblue11.hgr","no",4,64,0.03,64,0.0290936,2.04693,"km1",48202,45722,"no"
"Mt-KaHyPar Fast","dac2012_superblue11.hgr","no",5,64,0.03,64,0.0298327,2.11163,"km1",47589,44826,"no"
