graph,k,epsilon,num_threads,min_km1,avg_km1,min_cut,avg_cut,min_imbalance,avg_imbalance,min_total_time,avg_total_time,avg_time,timeout,failed,infeasible,invalid,instance,algo
dac2012_superblue3.hgr,16,0.03,64,23028,23028,19899,19899,0.0248728,0.0248728,6.92569,6.92569,6.92569,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue3.hgr,64,0.03,64,49427,50242.4,38345,39252,0.024193,0.02854354,2.57218,2.655384,2.655384,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue3.hgr,64,0.03,64,48616,48616,36971,36971,0.0298403,0.0298403,15.7375,15.7375,15.7375,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue6.hgr,2,0.03,64,3510,3581.66666666667,3510,3581.66666666667,0.00792953,0.01392164,0.714876,0.730140333333333,0.730140333333333,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue6.hgr,2,0.03,64,2957,2957,2957,2957,0,0,2.30443,2.30443,2.30443,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue6.hgr,8,0.03,64,13995,14800.75,13722,14500,0.0163849,0.01989,1.21766,1.3779,1.3779,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue6.hgr,8,0.03,64,13659,13659,13406,13406,0.0167645,0.0167645,4.39245,4.39245,4.39245,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue6.hgr,16,0.03,64,23981,24922,22469,23314,0.0240396,0.0259269333333333,1.74172,1.80253333333333,1.80253333333333,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue6.hgr,16,0.03,64,23650,23650,21477,21477,0.0169859,0.0169859,6.55612,6.55612,6.55612,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue6.hgr,64,0.03,64,52066,52754.8,42071,42507.6,0.029542,0.02987096,2.68242,2.766,2.766,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue6.hgr,64,0.03,64,51466,51466,42291,42291,0.0299848,0.0299848,14.4032,14.4032,14.4032,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
